Ticker,Sector
SPRE.JK,Consumer Cyclical
PART.JK,Consumer Cyclical
GOLF.JK,Consumer Cyclical
ISEA.JK,Consumer Defensive
BLES.JK,Basic Materials
GUNA.JK,Consumer Defensive
LABS.JK,Healthcare
DOSS.JK,Consumer Cyclical
NEST.JK,Consumer Defensive
PTMR.JK,Consumer Cyclical
VERN.JK,Communication Services
DAAZ.JK,Basic Materials
BOAT.JK,Energy
NAIK.JK,Basic Materials
AADI.JK,Energy
MDIY.JK,Consumer Cyclical
KSIX.JK,Real Estate
RATU.JK,Energy
YOII.JK,Financial Services
HGII.JK,Utilities
BRRC.JK,Consumer Defensive
DGWG.JK,Basic Materials
CBDK.JK,Real Estate
OBAT.JK,Consumer Defensive
MINE.JK,Basic Materials
ASPR.JK,Consumer Cyclical
PSAT.JK,Industrials
COIN.JK,Financial Services
CDIA.JK,Utilities
BLOG.JK,Industrials
MERI.JK,Consumer Defensive
CHEK.JK,Healthcare
PMUI.JK,Technology
EMAS.JK,Basic Materials
PJHB.JK,Unknown
RLCO.JK,Unknown
SUPA.JK,Financial Services
KAQI.JK,Consumer Cyclical
YUPI.JK,Consumer Defensive
FORE.JK,Consumer Cyclical
MDLA.JK,Healthcare
DKHH.JK,Healthcare
AYLS.JK,Consumer Defensive
DADA.JK,Real Estate
ASPI.JK,Consumer Cyclical
ESTA.JK,Consumer Cyclical
BESS.JK,Industrials
AMAN.JK,Real Estate
CARE.JK,Healthcare
PIPA.JK,Industrials
NCKL.JK,Basic Materials
MENN.JK,Industrials
AWAN.JK,Communication Services
MBMA.JK,Basic Materials
RAAM.JK,Communication Services
DOOH.JK,Communication Services
CGAS.JK,Energy
NICE.JK,Basic Materials
MSJA.JK,Consumer Cyclical
SMLE.JK,Basic Materials
ACRO.JK,Consumer Cyclical
MANG.JK,Industrials
WIFI.JK,Technology
FAPA.JK,Consumer Defensive
DCII.JK,Technology
KETR.JK,Technology
DGNS.JK,Healthcare
UFOE.JK,Consumer Cyclical
ADMF.JK,Financial Services
ADMG.JK,Basic Materials
ADRO.JK,Energy
AGII.JK,Basic Materials
AGRO.JK,Financial Services
AGRS.JK,Financial Services
AHAP.JK,Financial Services
AIMS.JK,Energy
PNSE.JK,Consumer Cyclical
POLY.JK,Basic Materials
POOL.JK,Unknown
PPRO.JK,Real Estate
